premise	hypothesis	label
Oh, I thought about it, but I was disappointed, and finally I spoke to him again.	I never spoke to him again.	2
Oh, I thought about it, but I was disappointed, and finally I spoke to him again.	I became furious and began to speak to him again.	0
Oh, I thought about it, but I was disappointed, and finally I spoke to him again.	Maintain good communication with him.	1
And they said unto me, Thou shalt call me by a man, and I shall meet him at the end.	I was not told that I had met anyone.	2
And they said unto me, Thou shalt call me by a man, and I shall meet him at the end.	They say to me by signs that they will call a man to meet me.	0
And they said unto me, Thou shalt call me by a man, and I shall meet him at the end.	The man came later.	1
There are many things that you can say that I commend to you.	I would declare unto thee all that I know, and I would declare unto thee all that I know.	2
There are many things that you can say that I commend to you.	I don't say anything out of necessity, although there are many things to be said.	0
There are many things that you can say that I commend to you.	I do not speak of the history of the city, for there is much to be said.	1
So I didn't know why.	I have confidence for a reason.	2
So I didn't know why.	I don't know why they moved from one school to another.	1
So I didn't know why.	I don't know why it happened.	0
And I will be only one, and I will not be a slave to the machines, and there will be little research stations in the sky.	I didn't want to be a slave and did the research.	1
And I will be only one, and I will not be a slave to the machines, and there will be little research stations in the sky.	The examination was completed in the upper chamber.	0
And I will be only one, and I will not be a slave to the machines, and there will be little research stations in the sky.	Few of us are able to look at the overseers' research.	2
I am, as Rick said, a retired Master Sergeant.	I am still working today.	2
I am, as Rick said, a retired Master Sergeant.	I retired in 2002.	1
I am, as Rick said, a retired Master Sergeant.	Rock told you that I quit my job.	0
And there was money upon my table, and it was Cutty's, and that was the name of the man that bought it.	Cutty the carpenter earns $10000 a month.	1
And there was money upon my table, and it was Cutty's, and that was the name of the man that bought it.	There is a carpenter named Cutty.	0
And there was money upon my table, and it was Cutty's, and that was the name of the man that bought it.	We'll call each other Cutty.	2
A maid can help me cook in the farthest part of town.	The girl I am engaged to lives far away with the sheep.	0
A maid can help me cook in the farthest part of town.	The girl who will help me lives about five miles away.	1
A maid can help me cook in the farthest part of town.	There is no one who can help me.	2
But they were divided because of those who had to work in the fields and the children at home, and it seemed--	All agreed to work in the territory.	2
But they were divided because of those who had to work in the fields and the children at home, and it seemed--	They disagreed as to who should become a field servant and who should stay at home.	0
But they were divided because of those who had to work in the fields and the children at home, and it seemed--	They agreed on who would work in the cotton fields and who would tend the fields.	1
I mean, they had, well, they had five children, and one of the children died.	All of her babies survived.	2
I mean, they had, well, they had five children, and one of the children died.	One of the five children died.	0
I mean, they had, well, they had five children, and one of the children died.	The child was born sick and died.	1
"With tears streaming down her cheeks, she said, ""Joe is in the hallway""."	As he tells her to come to the porch, tears well up in her eyes.	0
"With tears streaming down her cheeks, she said, ""Joe is in the hallway""."	Immediately tears welled up in her eyes as she threw Joe out of the hallway.	2
"With tears streaming down her cheeks, she said, ""Joe is in the hallway""."	She was so happy to see Joe that she burst into tears.	1
Even if a plane catches fire, it will burn and some of the metal will melt and the power will be cut off.	Electricity can also be lost in a fire.	1
Even if a plane catches fire, it will burn and some of the metal will melt and the power will be cut off.	Electricity may be released from some parts of the metal after the plane crashes.	0
Even if a plane catches fire, it will burn and some of the metal will melt and the power will be cut off.	The electricity does not go out in a fire.	2
This is Colonel Sergeant Clem Francis, retired from the US Air Force.	Captain is on leave from the U.S. Air Force.	0
This is Colonel Sergeant Clem Francis, retired from the US Air Force.	The director went on vacation a few weeks ago.	1
This is Colonel Sergeant Clem Francis, retired from the US Air Force.	The US Air Force Chief of Staff began his duties this week.	2
And it came to pass, that there were about two or three ships in the sea, and I did not know where they were sailing.	Several flights arrive every week.	0
And it came to pass, that there were about two or three ships in the sea, and I did not know where they were sailing.	Large airships are a source of trouble.	1
And it came to pass, that there were about two or three ships in the sea, and I did not know where they were sailing.	They had no ships to come.	2
They had completed their apprenticeship and it took me some time to get into the apprenticeship.	It takes three months to complete the training to use heavy clothing.	1
They had completed their apprenticeship and it took me some time to get into the apprenticeship.	The training they use involves wearing heavy clothing with the exception of mattresses.	0
They had completed their apprenticeship and it took me some time to get into the apprenticeship.	We can give you a training that you will use to carry heavy clothing to the end of the day.	2
And I would say that it was not customary for them to eat and pray before the altar, however much it fell to the ground.	The pilots did not give up on the goal.	1
And I would say that it was not customary for them to eat and pray before the altar, however much it fell to the ground.	And it was not lawful for the torch to be broken.	0
And I would say that it was not customary for them to eat and pray before the altar, however much it fell to the ground.	There is a great sign that the tower is bursting.	2
Does it seem that I am striving to do it correctly?	I do not know how this applies to you.	2
Does it seem that I am striving to do it correctly?	This is what I was trying to do, and it was obvious.	0
