premise	hypothesis	label
So, I didn't really think about it, but I was very worried, and, I cooked and talked to him again.	I didn't talk to him.	2
So, I didn't really think about it, but I was very worried, and, I cooked and talked to him again.	I felt very confident just to talk to him for the first time.	0
So, I didn't really think about it, but I was very worried, and, I cooked and talked to him again.	We had a very pleasant conversation.	1
They told me that, well, a boy would eventually call me and we would meet.	I hadn't been told anything about meeting anyone.	2
They told me that, well, a boy would eventually call me and we would meet.	I was told that a young man would be summoned to meet me.	0
They told me that, well, a boy would eventually call me and we would meet.	The young man was late.	1
There is so much more that you could say about this that I will just pass it along.	I want to tell you everything I know about it.	2
There is so much more that you could say about this that I will just pass it along.	I will not go into that, although there is more to be covered.	0
There is so much more that you could say about this that I will just pass it along.	I won't talk about the town's history because there's so much to talk about.	1
So I'm not sure why.	I'm sure of why.	2
So I'm not sure why.	I don't know why she switched schools.	1
So I'm not sure why.	I don't know why this has happened.	0
I was the only one who was, uh, always conducting the controls, the tests in the small studio room.	I didn't like that I was the only one conducting the controls for testing.	1
I was the only one who was, uh, always conducting the controls, the tests in the small studio room.	The tests were carried out in small rooms of the altitude.	0
I was the only one who was, uh, always conducting the controls, the tests in the small studio room.	there were a few of us who conducted the controls for testing.	2
I'm, uh, a retired chief of police, according to Rick.	I still work to this day.	2
I'm, uh, a retired chief of police, according to Rick.	I retired in 2002.	1
I'm, uh, a retired chief of police, according to Rick.	Rick told you that I had retired.	0
There's a cash flow estimate on my desk and, um, it's for something like that with Cutty.	A sponsor named Cutty makes $10,000 a month.	1
There's a cash flow estimate on my desk and, um, it's for something like that with Cutty.	There's a supporter named Cutty.	0
There's a cash flow estimate on my desk and, um, it's for something like that with Cutty.	We don't have a client named Cutty.	2
The girl who helps me lives on the other side of town.	The girl I need help with lives on the street far away.	0
The girl who helps me lives on the other side of town.	The girl who helped me lives five miles [5.5 km] away.	1
The girl who helps me lives on the other side of town.	No one can help me.	2
But they were divided among themselves, as to which of them was of the hand, and which of them was of the household--	All of them decided to work in the fields.	2
But they were divided among themselves, as to which of them was of the hand, and which of them was of the household--	They were unable to determine who was the housekeeper and who was the housekeeper.	0
But they were divided among themselves, as to which of them was of the hand, and which of them was of the household--	They could not agree on who should do the weaving and who should do the carpeting.	1
I mean, they had five children, one of whom died.	All of their children survived.	2
I mean, they had five children, one of whom died.	One of the Five children died.	0
I mean, they had five children, one of whom died.	The child who died was born sick.	1
She said it was just tears coming out of her eyes, and she said, after which she said Joe came to the Veranda.	As she told him to come to the veranda he had tears in his eyes.	0
She said it was just tears coming out of her eyes, and she said, after which she said Joe came to the Veranda.	She quickly wiped away her tears after Joe threw himself off the porch.	2
She said it was just tears coming out of her eyes, and she said, after which she said Joe came to the Veranda.	She was so happy to see Joe that she burst into tears.	1
Even if the aircraft was on fire, why, it would have burned, melted and melted through the lead section with radiation leakage.	Radiation can also be contained by a flame-thrower.	1
Even if the aircraft was on fire, why, it would have burned, melted and melted through the lead section with radiation leakage.	Radiation can leak into the mainframe after an aircraft has burned.	0
Even if the aircraft was on fire, why, it would have burned, melted and melted through the lead section with radiation leakage.	Radiation does not leak during a fire.	2
Sergeant Major Clem Francis, retired from the U.S. Air Force.	The captain retired from the U.S. Air Force.	0
Sergeant Major Clem Francis, retired from the U.S. Air Force.	The manager just retired a few weeks ago.	1
Sergeant Major Clem Francis, retired from the U.S. Air Force.	The U.S. Air Force Chief of Staff is completing his tour of duty early this week.	2
Yes, it's gotten to the point where there are two or three flights a week and I don't know where they're flying.	More than one airplane arrives each week.	0
Yes, it's gotten to the point where there are two or three flights a week and I don't know where they're flying.	Increased air travel is a problem.	1
Yes, it's gotten to the point where there are two or three flights a week and I don't know where they're flying.	No planes are arriving.	2
They had already trained in full press suits and it took me a while to go to press suits.	It takes three months to complete the training to use the full press suits.	1
They had already trained in full press suits and it took me a while to go to press suits.	Training to use a full press suit takes time.	0
They had already trained in full press suits and it took me a while to go to press suits.	We could train you to use a full press suit by the end of the day.	2
I want to say that there was no danger in going inside with the bomb because it would never explode, no matter how hard it hit the ground.	The bomb was detonated by the pilot.	1
I want to say that there was no danger in going inside with the bomb because it would never explode, no matter how hard it hit the ground.	The bomb had no chance of detonating.	0
I want to say that there was no danger in going inside with the bomb because it would never explode, no matter how hard it hit the ground.	There was a high risk of a bomb blast.	2
And how does it feel when it looks exactly like what I want to do?	I'm not sure how this looks to you.	2
And how does it feel when it looks exactly like what I want to do?	I try to do this, obviously.	0
And how does it feel when it looks exactly like what I want to do?	I try to finish my project next week.	1
Yet, the animals are always free, especially the goats.	the goats ran out of the pen every day.	1
Yet, the animals are always free, especially the goats.	The goats ran constantly.	0
Yet, the animals are always free, especially the goats.	The goats were kept safe.	2
The doors were locked as we entered.	All the doors were open.	2
The doors were locked as we entered.	We had the keys with us.	1
The doors were locked as we entered.	We went inside, even though the doors were locked.	0
So I had to take the totals and try to estimate it like that.	I feel confident because the numbers are what I need to fix this.	1
So I had to take the totals and try to estimate it like that.	I don't know what to do with the numbers but please give me more chunks to solve this problem.	2
So I had to take the totals and try to estimate it like that.	I'm going to calculate it based on totals.	0
And much of it is due to the fact that the mothers use drugs.	Mothers are addicted to drugs.	1
And much of it is due to the fact that the mothers use drugs.	Mothers are not on doctor's orders or prescribed drugs.	2
And much of it is due to the fact that the mothers use drugs.	The mothers take drugs.	0
Yes, it is very pleasant when it rains.	I don't have a problem with rain.	1
Yes, it is very pleasant when it rains.	It's nice and rainy.	0
Yes, it is very pleasant when it rains.	It is even worse when the sun is constant.	2
What is human life and whether or not you can restore a person to his or her normal state.	All lives deserve to be restored and given a second chance.	1
What is human life and whether or not you can restore a person to his or her normal state.	No human deserves to be rehabilitated.	2
What is human life and whether or not you can restore a person to his or her normal state.	Apart from rehabilitation, human life is precious.	0
Oh! a young man has a strange wiring problem there.	I've never seen a wiring problem like this before.	1
Oh! a young man has a strange wiring problem there.	The Lei wire ring is not a problem.	2
Oh! a young man has a strange wiring problem there.	There is a problem with these unusual wires	0
It sounds very exciting and even surprising to me the amount of things they would allow.	It does not surprise me that they have endured.	2
It sounds very exciting and even surprising to me the amount of things they would allow.	To my surprise, they let you take food and drinks inside.	1
