premise	hypothesis	label
To be honest, I hadn't thought about it, but I was confused, and I ended up talking to her again.	I never spoke to him again.	2
To be honest, I hadn't thought about it, but I was confused, and I ended up talking to her again.	I was so upset that I started talking to her again.	0
To be honest, I hadn't thought about it, but I was confused, and I ended up talking to her again.	We had a good talk.	1
I was told that, uh, I would be summoned to meet the young man at the end.	I had not been told anything about contacting anyone.	2
I was told that, uh, I would be summoned to meet the young man at the end.	I was told that I would be summoned to meet a young man.	0
I was told that, uh, I would be summoned to meet the young man at the end.	The young man arrived late.	1
We have much more to say about this, but I will leave it to you.	I want to tell you everything I know about it.	2
We have much more to say about this, but I will leave it to you.	I will not talk about that, although there is much that needs to be done.	0
We have much more to say about this, but I will leave it to you.	I won't talk about the history of the town because it has a lot of stories.	1
So why am I not ashamed?	I'm pretty sure that's why.	2
So why am I not ashamed?	I don't know why he changed schools.	1
So why am I not ashamed?	I don't know why that happened.	0
I was the only one operating the small controls for the thermometer test.	I didn't want to be the only one handling the controls for the tests.	1
I was the only one operating the small controls for the thermometer test.	Experiments were conducted in small chambers.	0
I was the only one operating the small controls for the thermometer test.	A few of us were handling the control equipment for the tests.	2
It is I, the Chief Master Sergeant, who has laid the flag down, as Rick said.	I am still working today.	2
It is I, the Chief Master Sergeant, who has laid the flag down, as Rick said.	Retired in 2002	1
It is I, the Chief Master Sergeant, who has laid the flag down, as Rick said.	Rick has told you that I am retired.	0
There are expectations about the money that goes in and out of my desk, and who owns Cutty, that's the name of the customer.	A customer named Cutty earns $10,000 a month.	1
There are expectations about the money that goes in and out of my desk, and who owns Cutty, that's the name of the customer.	There is a customer named Cutty.	0
There are expectations about the money that goes in and out of my desk, and who owns Cutty, that's the name of the customer.	We don't have a customer named Cutty.	2
The girl who can help me is in town.	My helpless daughter lives far away.	0
The girl who can help me is in town.	A little girl comes to me from five kilometers away	1
The girl who can help me is in town.	No one can help me.	2
But they were divided as to who worked on the farm and who belonged to the household.	All have agreed to work in the fields.	2
But they were divided as to who worked on the farm and who belonged to the household.	They could not agree on who would work on the farm and who would stay in the house.	0
But they were divided as to who worked on the farm and who belonged to the household.	There was disagreement as to who should work on the dairy farm and who should clean the floor.	1
I mean, they had five children, one of whom died.	All of their children survived.	2
I mean, they had five children, one of whom died.	One out of every five children died.	0
I mean, they had five children, one of whom died.	The dead child was born sick.	1
She said there were tears in her eyes and that Joe was born on the porch	She had tears in her eyes when she told him to come to the porch.	0
She said there were tears in her eyes and that Joe was born on the porch	She quickly wiped the tears from her eyes after pushing Joe out onto the porch.	2
She said there were tears in her eyes and that Joe was born on the porch	She was so happy to see Joe that she began to cry.	1
Even if the plane caught fire, it would burn up and melt into the lead component, allowing the radiation to escape.	Radiation can also be prevented in the event of a fire.	1
Even if the plane caught fire, it would burn up and melt into the lead component, allowing the radiation to escape.	Radiation can leak from the lead component after the aircraft has burned.	0
Even if the plane caught fire, it would burn up and melt into the lead component, allowing the radiation to escape.	Radiation will not leak during a fire.	2
This is Chief Master Sergeant Clem Francis, retired from the U.S. military.	Chief resigned from the U.S. Army.	0
This is Chief Master Sergeant Clem Francis, retired from the U.S. military.	Chief just laid down a few weeks ago.	1
This is Chief Master Sergeant Clem Francis, retired from the U.S. military.	The U.S. Army Chief of Staff just took office this week.	2
Well, it got to the point where there were two or three flights a week and I didn't know where they were going.	More than one plane arrives each week.	0
Well, it got to the point where there were two or three flights a week and I didn't know where they were going.	Increased air traffic is a problem.	1
Well, it got to the point where there were two or three flights a week and I didn't know where they were going.	No planes are arriving.	2
They had their training in a full wind suit and it took me a while when you use a full wind suit.	It takes up to three months to complete training in the use of a complete air suit.	1
They had their training in a full wind suit and it took me a while when you use a full wind suit.	Training to use a full air suit takes time.	0
They had their training in a full wind suit and it took me a while when you use a full wind suit.	We can train you to use a full wind suit at the end of the day.	2
I wanted it to be safe by going in deliberately, because it wouldn't explode, no matter how hard it hit the ground.	The bomb was defused by the pilot.	1
I wanted it to be safe by going in deliberately, because it wouldn't explode, no matter how hard it hit the ground.	The bomb had no chance of exploding.	0
I wanted it to be safe by going in deliberately, because it wouldn't explode, no matter how hard it hit the ground.	There was a high risk of a bomb blast.	2
And what if it looks like what I'm trying to do.	I'm not sure what this looks like to you.	2
And what if it looks like what I'm trying to do.	Obviously, I try to do this.	0
And what if it looks like what I'm trying to do.	I try to finish my project next week.	1
But then, the animals will always be slaughtered, especially the goats.	The goats ran away from the farm these days.	1
But then, the animals will always be slaughtered, especially the goats.	The goats have escaped many times.	0
But then, the animals will always be slaughtered, especially the goats.	The goats were well protected.	2
The doors were locked when we entered.	All the doors were open.	2
The doors were locked when we entered.	We had the keys with us.	1
The doors were locked when we entered.	We managed to get inside, even though the doors were locked.	0
Now I needed to take the summaries and try to fix it that way.	I feel confident that I only need summaries to fix this.	1
Now I needed to take the summaries and try to fix it that way.	I don't know what to do with the summaries but please give me the details to correct this nonsense.	2
Now I needed to take the summaries and try to fix it that way.	I will read it in general terms.	0
And most of them are due to the fact that the mothers are anesthetized.	My mother is a drug addict.	1
And most of them are due to the fact that the mothers are anesthetized.	Mothers are not on prescription medications or anaesthetics.	2
