premise	hypothesis	label
I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	That was the last time I spoke to him.	2
I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	I was so upset that I decided to talk to him again.	0
I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	We had a good conversation.	1
They told me that uh, they were going to get me a guy to meet me at the end.	There was no mention of a date.	2
They told me that uh, they were going to get me a guy to meet me at the end.	They told me that uh, they were going to get me a guy to meet me at the end.	0
They told me that uh, they were going to get me a guy to meet me at the end.	The boy came to the church.	1
You have much more to say on this subject, but I will leave it at that.	I want to tell you everything I know about it!	2
You have much more to say on this subject, but I will leave it at that.	I will not dwell on that, although there is much more to it.	0
You have much more to say on this subject, but I will leave it at that.	I won't go into the history of the city because there's so much to tell.	1
Now, I don't really know why.	I made sure of that.	2
Now, I don't really know why.	I don't know why he changed schools.	1
Now, I don't really know why.	I don't know why that happened.	0
I was the only one, uh, using the tracking device, to test the change of position of the object being placed in the room.	I didn't want to be alone and have to deal with a machine.	1
I was the only one, uh, using the tracking device, to test the change of position of the object being placed in the room.	The tests were conducted in a controlled environment.	0
I was the only one, uh, using the tracking device, to test the change of position of the object being placed in the room.	Few of us operate the machines in a test environment.	2
I'm, uh, retired Chief Master Sergeant, as Rick said.	To this day, I am still working.	2
I'm, uh, retired Chief Master Sergeant, as Rick said.	I retired in 2002.	1
I'm, uh, retired Chief Master Sergeant, as Rick said.	Rick informed them that I was retiring.	0
There's a bill of lading on my desk and, um, uh, Cutty's, that's the client's name.	A client named Cutty makes $10,000 a month.	1
There's a bill of lading on my desk and, um, uh, Cutty's, that's the client's name.	There's a customer named Cutty.	0
There's a bill of lading on my desk and, um, uh, Cutty's, that's the client's name.	We don't have a customer here named Cutty.	2
The girl who can help me is far away from the city.	The girl I need help with lives far away.	0
The girl who can help me is far away from the city.	The girl who is supposed to help me is five miles away.	1
The girl who can help me is far away from the city.	No one can help me.	2
But they were divided as to who would work on the farm and who would stay at home.	All agreed that they would work together in the field.	2
But they were divided as to who would work on the farm and who would stay at home.	They could not agree on who was the farmer and who was the householder.	0
But they were divided as to who would work on the farm and who would stay at home.	They could not agree on who should work in the cotton fields and who should sweep the houses.	1
I mean, they only had five children, one of whom died.	All their children escaped.	2
I mean, they only had five children, one of whom died.	One of the five children died.	0
I mean, they only had five children, one of whom died.	The child who died was born with a disability.	1
She said that she had only tears in her eyes, and then Joe came to the door.	Tears welled up in her eyes when she told him to come to the front.	0
She said that she had only tears in her eyes, and then Joe came to the door.	She quickly wiped away tears after sending Joe out of the living room.	2
She said that she had only tears in her eyes, and then Joe came to the door.	She was so happy to see Joe, that she burst into tears.	1
If an airplane was on fire, why would it, uh, melt down to the dangerously flammable lead compound?	Even the emission of harmful gases into the air can be limited by fire.	1
If an airplane was on fire, why would it, uh, melt down to the dangerously flammable lead compound?	More dangerous fumes can be emitted from a lead-based solvent than from an airplane that is on fire.	0
If an airplane was on fire, why would it, uh, melt down to the dangerously flammable lead compound?	The sound of deadly firecrackers could not have been produced by a flame.	2
This is Chief Master Sergeant Clem Francis, retired U.S. Air Force.	Chief retired from the US Air Force.	0
This is Chief Master Sergeant Clem Francis, retired U.S. Air Force.	Chief retired a few weeks ago.	1
