premise	hypothesis	label
Well, I didn't even think about it, but I was so frustrated, and I ended up talking to him again.	I didn't talk to him again.	2
Well, I didn't even think about it, but I was so frustrated, and I ended up talking to him again.	I was so upset that I just started talking to her again.	0
Well, I didn't even think about it, but I was so frustrated, and I ended up talking to him again.	We had a long talk.	1
They told me that at the end, they'd bring me a man to meet.	I was never told to meet anyone.	2
They told me that at the end, they'd bring me a man to meet.	I was told a guy was called in to meet me.	0
They told me that at the end, they'd bring me a man to meet.	The guy came in a little late.	1
There's so much you could talk about that I'm just gonna skip it.	I wish I could tell you everything I know about it!	2
There's so much you could talk about that I'm just gonna skip it.	I won't talk about it, even though there's a lot to cover.	0
There's so much you could talk about that I'm just gonna skip it.	I'm not going to talk about the history of the town because there's too much to talk about.	1
So I don't really know why.	You know the reason why it happened.	2
So I don't really know why.	I don't know why he switched schools.	1
So I don't really know why.	I don't know why it happened.	0
I was the only one to, uh, still run the regulators for the, uh, test in the miniature altitude chambers.	I didn't like being the only one using the regulators for testing.	1
I was the only one to, uh, still run the regulators for the, uh, test in the miniature altitude chambers.	The tests were carried out in the miniature chamber at altitude.	0
I was the only one to, uh, still run the regulators for the, uh, test in the miniature altitude chambers.	A few of us ran with the regulators for the test.	2
I'm, uh, chief master sergeant, retired, as Rick said.	I still work to this day.	2
I'm, uh, chief master sergeant, retired, as Rick said.	I retired in 2002.	1
I'm, uh, chief master sergeant, retired, as Rick said.	Rick told you I was retired.	0
I have cash flow forecasts on my desk, and, uh, yeah, it's for Cutty whatever, that's the client's name.	The client named Cutty makes $10,000 a month.	1
I have cash flow forecasts on my desk, and, uh, yeah, it's for Cutty whatever, that's the client's name.	There's a client named Cutty.	0
I have cash flow forecasts on my desk, and, uh, yeah, it's for Cutty whatever, that's the client's name.	We don't have any customers named Cutty.	2
The girl who can help me is halfway across town.	The girl I need help with lives far away from here.	0
The girl who can help me is halfway across town.	The girl who's going to help me is five miles away.	1
The girl who can help me is halfway across town.	There's no one who can help me.	2
But they were divided about who were the field people and who were the children of the house, it was rather ...	They agreed that they would all work in the fields.	2
But they were divided about who were the field people and who were the children of the house, it was rather ...	They could not agree on who belonged to the work force and who belonged to the household.	0
But they were divided about who were the field people and who were the children of the house, it was rather ...	They couldn't agree on who should work in the cotton field and who should mop the floors.	1
I mean, they only had five kids, one of whom died.	All their children survived.	2
I mean, they only had five kids, one of whom died.	One out of every five children died.	0
I mean, they only had five kids, one of whom died.	The child who died was born sick.	1
