premise	hypothesis	label
I didn't even think about it, but I was worried and I ended up talking to him again	I never spoke to him again	2
I didn't even think about it, but I was worried and I ended up talking to him again	I was so angry that I started talking to him	0
I didn't even think about it, but I was worried and I ended up talking to him again	We had a good talk	1
They told me that they would call the last man I would meet.	I've never been told anything about who I should meet	2
They told me that they would call the last man I would meet.	I was told that the man would be called to meet me	0
They told me that they would call the last man I would meet.	The man came late	1
There's a lot to talk about in that, I'll skip that.	I want to tell you everything I know about that.	2
There's a lot to talk about in that, I'll skip that.	I won't talk about that, although there's a lot I could say.	0
There's a lot to talk about in that, I'll skip that.	I won't talk about the history of the city because there is so much to say	1
I'm not sure why	I'm sure the reason	2
I'm not sure why	I don't know why he was transferred to schools	1
I'm not sure why	I don't know why that happens.	0
I was the only one working on the controls, checking for small high holes	I didn't like being the only one using the test controls	1
I was the only one working on the controls, checking for small high holes	Tests were carried out in small high-pressure chambers	0
I was the only one working on the controls, checking for small high holes	Few of us rushed to the controls to check	2
I'm a retired senior sergeant, according to Rick.	Still working to this day	2
I'm a retired senior sergeant, according to Rick.	Retired in 2002	1
I'm a retired senior sergeant, according to Rick.	Rick told you I retired.	0
There were cash receipts on my desk, that's why and Cutty, that's the client's name	Client Cutty is making $10,000 a month.	1
There were cash receipts on my desk, that's why and Cutty, that's the client's name	There's a customer named Cutty	0
There were cash receipts on my desk, that's why and Cutty, that's the client's name	We don't have a customer named Cutty	2
The girl I helped is from across town	The girl I want to help lives far away	0
The girl I helped is from across town	The girl who will help me lives five miles away	1
The girl I helped is from across town	No one can help me	2
They are divided as to who will work in the fields and who will be the children of the household, something similar	All agreed to work in the fields	2
They are divided as to who will work in the fields and who will be the children of the household, something similar	They could not agree on who would go out in the ministry and who would work in the house	0
They are divided as to who will work in the fields and who will be the children of the household, something similar	They could not agree on who would work in the cotton field and who would sweep the floor	1
They had five children, one of whom died	All their children survived	2
They had five children, one of whom died	One of the five children died	0
They had five children, one of whom died	A stillborn child was born sick	1
She said there were tears running down her eyes and she said again, then she said to Joe she came to the lobby	When she told him to come to the entrance he had tears in his eyes	0
