premise	hypothesis	label
Okay, I wasn't even thinking about that, but I got so mad, I ended up talking to him again.	I never spoke to him again.	2
Okay, I wasn't even thinking about that, but I got so mad, I ended up talking to him again.	I was so upset that I started talking to him again.	0
Okay, I wasn't even thinking about that, but I got so mad, I ended up talking to him again.	We made it a very enjoyable talk.	1
"They said, ""Oh, they told me that I would eventually be invited by a priest to meet with him""."	I had never been invited to meet anyone.	2
"They said, ""Oh, they told me that I would eventually be invited by a priest to meet with him""."	I was told that a young man was to be called in to see me.	0
"They said, ""Oh, they told me that I would eventually be invited by a priest to meet with him""."	The boy appeared to be very young.	1
We have much to say about this man, but we will pass on to the next.	I want to tell you all I know about it!	2
We have much to say about this man, but we will pass on to the next.	There is much more to be said, but I will not talk about it.	0
We have much to say about this man, but we will pass on to the next.	I'm not going to talk about the history of the city, because there's so much history.	1
So I really don't know why.	I have no doubt as to why.	2
So I really don't know why.	I don't know why he changed schools.	1
So I really don't know why.	I don't know why.	0
I was the only one, and I always opened the checkpoint in a low-altitude cave.	I didn't want to be the one to open the door.	1
I was the only one, and I always opened the checkpoint in a low-altitude cave.	Experiments were carried out in a low-pressure environment.	0
I was the only one, and I always opened the checkpoint in a low-altitude cave.	Only a few of us were able to keep an eye on it.	2
I, oh, the CEO of Sage, am retired, just like Rick said.	I am still working today.	2
I, oh, the CEO of Sage, am retired, just like Rick said.	In 2002, I was able to retire.	1
I, oh, the CEO of Sage, am retired, just like Rick said.	Rick has told you that I am retired.	0
There's some cash flow estimates on my desk and, um, uh, so-and-so's name is Cutty, so that's the nickname.	The Cutty family earns $10,000 a month.	1
There's some cash flow estimates on my desk and, um, uh, so-and-so's name is Cutty, so that's the nickname.	There is the Cutty family.	0
There's some cash flow estimates on my desk and, um, uh, so-and-so's name is Cutty, so that's the nickname.	We don't have any customers named Cutty.	2
The girl who was supposed to help me had moved across town.	The girl I need help with lives far away.	0
The girl who was supposed to help me had moved across town.	She was going to help me, five miles away.	1
The girl who was supposed to help me had moved across town.	No one could help me.	2
