premise	hypothesis	label
Honestly I didn't think about it but I was very angry, and finally I hid and talked to him more.	I never spoke to him again.	2
Honestly I didn't think about it but I was very angry, and finally I hid and talked to him more.	I just got so angry that I started talking to him more.	0
Honestly I didn't think about it but I was very angry, and finally I hid and talked to him more.	We had a pleasant conversation.	1
They told me that, uh that they would call me and meet me at the end.	I wasn't told anything about meeting anyone.	2
They told me that, uh that they would call me and meet me at the end.	I was told to call someone to meet me.	0
They told me that, uh that they would call me and meet me at the end.	The man was a little late.	1
There's a lot you could say on that one to skip that one.	I want to tell him everything I know about it.	2
There's a lot you could say on that one to skip that one.	I won't talk about it, although there is a lot of talk about it.	0
There's a lot you could say on that one to skip that one.	I won't talk about the history of the state, because there is a lot of conflict.	1
I'm not sure why.	I'm sure that's why.	2
I'm not sure why.	I don't know why he changed schools so much.	1
I'm not sure why.	I don't know why that happened.	0
I'm the only uh, I've ever led the experimenters of a small altitude hall.	I didn't want to be the only one leading the experimenters.	1
I'm the only uh, I've ever led the experimenters of a small altitude hall.	The test was conducted in a small altitude hall.	0
I'm the only uh, I've ever led the experimenters of a small altitude hall.	A few of us led the experimenters.	2
I'm, uh, a senior fear officer, retired as Rick said.	I still had to work that day.	2
I'm, uh, a senior fear officer, retired as Rick said.	I retired in 2002.	1
I'm, uh, a senior fear officer, retired as Rick said.	Rick told you I'm retired.	0
There's some cash flow forecasts on my son's desk and, um, uh, and Cutty's, that's the name of the client.	A business associate named Cutty earned $10,000 a month.	1
There's some cash flow forecasts on my son's desk and, um, uh, and Cutty's, that's the name of the client.	There was a colleague named Cutty.	0
There's some cash flow forecasts on my son's desk and, um, uh, and Cutty's, that's the name of the client.	We don't have a partner named Cutty.	2
The girl who could help me was across town.	The girl I needed her help with lived a long way away.	0
The girl who could help me was across town.	The girl who would help me was five miles away.	1
The girl who could help me was across town.	No one could help me.	2
But they're sorted like who's going to contribute to the farm and who's going to support the household, sort of like this --	They all agreed that they would work in the field.	2
But they're sorted like who's going to contribute to the farm and who's going to support the household, sort of like this --	A disagreement arose over who was to be the farmer and who was to be the householder.	0
But they're sorted like who's going to contribute to the farm and who's going to support the household, sort of like this --	They could not agree on who would work in the cotton fields and who would sweep the floor.	1
I mean, they had, like, five kids, one of whom died.	All their children survived.	2
I mean, they had, like, five kids, one of whom died.	One of the five children died.	0
I mean, they had, like, five kids, one of whom died.	Babies who died at birth were born with cerebral palsy.	1
Filter while only tears are flowing from her eyes and filter, then filter Joe on the balcony.	As she told him, his eyes welled up with tears.	0
Filter while only tears are flowing from her eyes and filter, then filter Joe on the balcony.	She quickly wiped away her tears after dragging Joe down from the balcony.	2
Filter while only tears are flowing from her eyes and filter, then filter Joe on the balcony.	She started to cry because she was so happy to see Joe.	1
Even the plane was on fire, which is why, it would, uh, burn and it would melt through the lead compound because the steam came out.	It may also contain the smoke during the fire.	1
Even the plane was on fire, which is why, it would, uh, burn and it would melt through the lead compound because the steam came out.	The vapour would escape from the lead chamber after the aircraft had burned.	0
Even the plane was on fire, which is why, it would, uh, burn and it would melt through the lead compound because the steam came out.	The smoke would not escape during a fire.	2
This is General Francis, retired from the United States Air Force.	The general is a retired U.S. Air Force officer.	0
This is General Francis, retired from the United States Air Force.	The former Chief Security Officer retired a few weeks ago.	1
This is General Francis, retired from the United States Air Force.	The Chief of Staff of the United States Air Force began his duties this week.	2
Dan Haka, there were two to three flights coming in a week and I didn't know where they were going.	More than one airplane arrives each week.	0
Dan Haka, there were two to three flights coming in a week and I didn't know where they were going.	There are difficulties in this increased traffic.	1
Dan Haka, there were two to three flights coming in a week and I didn't know where they were going.	No airplanes are coming.	2
They had already been trained on my flight suit and it took me a while to get the suit on.	It took three months to complete training in the use of the life jacket.	1
They had already been trained on my flight suit and it took me a while to get the suit on.	The training of the pilots to wear protective suits takes a long time.	0
They had already been trained on my flight suit and it took me a while to get the suit on.	We can give you training on how to use a life jacket on board before the end of today's session.	2
I would like to say that there is no danger of entering with the bomb because it will not take off no matter how it is hit.	The pilot defused the bomb.	1
I would like to say that there is no danger of entering with the bomb because it will not take off no matter how it is hit.	The bomb has no chance of taking off.	0
I would like to say that there is no danger of entering with the bomb because it will not take off no matter how it is hit.	There was a great danger of the explosion.	2
And is it made the way I try to make it?	I don't know if this is the case for you.	2
And is it made the way I try to make it?	I'm trying to do this, you see.	0
And is it made the way I try to make it?	I want to finish my work next week.	1
Nevertheless, the animals always disappeared, especially the giraffes.	The goats are running away from the herd.	1
Nevertheless, the animals always disappeared, especially the giraffes.	The donkeys tend to run away.	0
Nevertheless, the animals always disappeared, especially the giraffes.	The goats were healthy and well cared for.	2
The doors are locked while we are inside.	All the gates are open.	2
The doors are locked while we are inside.	We had locks on our doors.	1
The doors are locked while we are inside.	We are inside, though the doors are locked.	0
So I had to take them all one by one and try to figure it out that way.	I'm sure I'll take the whole thing to solve this puzzle.	1
So I had to take them all one by one and try to figure it out that way.	I can't understand anything even if I take them all, please give me more information to solve this problem.	2
So I had to take them all one by one and try to figure it out that way.	I shall reckon it all together.	0
And many of these deaths are the result of alcohol abuse by mothers.	The mothers were alcoholics.	1
And many of these deaths are the result of alcohol abuse by mothers.	Mothers should not be on any medication or pills.	2
And many of these deaths are the result of alcohol abuse by mothers.	Their mothers take pills.	0
Yes, the rains are delightful.	I didn't care about the water.	1
Yes, the rains are delightful.	It was a delightful experience.	0
Yes, the rains are delightful.	It was as terrible as the scorching heat of the sun.	2
Oh a human life is precious and you can fix a life or you can't.	All people deserve to be rehabilitated and given a second chance.	1
Oh a human life is precious and you can fix a life or you can't.	No human deserves to be corrected.	2
Oh a human life is precious and you can fix a life or you can't.	Whether or not it improves life, it's a life worth living.	0
Oh my, you have some kind of writer's block.	I've never seen such a typing problem before.	1
Oh my, you have some kind of writer's block.	The problem is not the title.	2
Oh my, you have some kind of writer's block.	There was a problem with this one-of-a-kind script.	0
You must have enjoyed it, yes, what a wonderful legacy they left behind.	I was not at all surprised by their humility.	2
You must have enjoyed it, yes, what a wonderful legacy they left behind.	I'm surprised they let you take food and drink in.	1
You must have enjoyed it, yes, what a wonderful legacy they left behind.	I wondered what they could get without the bait.	0
oh but still um my kids are now 21 and 24 years old, so I don't have to.	I don't have to because my kids are in their twenties now.	0
oh but still um my kids are now 21 and 24 years old, so I don't have to.	I can do it since it's time.	1
oh but still um my kids are now 21 and 24 years old, so I don't have to.	I guess since they're all ten and you're eleven.	2
Yes, people who can act at a moment's notice or when they need to make a decision are often confused.	Yes, people who can't make a decision right away	0
Yes, people who can act at a moment's notice or when they need to make a decision are often confused.	Yes, people who are not hungry.	1
Yes, people who can act at a moment's notice or when they need to make a decision are often confused.	Yes, people who have no mental disabilities of any kind.	2
No, they're still roaming, they've been roaming since the end of the nineteen sixties.	They had been in the traveling work since before 1970.	0
No, they're still roaming, they've been roaming since the end of the nineteen sixties.	They love to travel.	1
No, they're still roaming, they've been roaming since the end of the nineteen sixties.	The days are numbered according to the number of their journeys.	2
He exercises regularly.	You could explain how the exercise works.	0
He exercises regularly.	I loved gymnastics because I needed to keep my blood vessels open.	1
He exercises regularly.	God's people stop talking about gymnastics.	2
Well, that's good, I haven't thought about it.	This was a bad decision that I had dismissed last week.	2
Well, that's good, I haven't thought about it.	This advice worked.	0
Well, that's good, I haven't thought about it.	The contrast you mention is a good point	1
Two days a week the nursing home is called a nursing home but she went to the nursing home.	The nursery is only open daily for children under five years of age.	2
Two days a week the nursing home is called a nursing home but she went to the nursing home.	They are allowed to visit more than twice a week if the elders are able.	1
Two days a week the nursing home is called a nursing home but she went to the nursing home.	It is called the elders' home but is usually referred to as the elders' center.	0
That is what they want.	That is what they are striving for.	0
That is what they want.	They do not need him.	2
That is what they want.	They achieved their goal.	1
Handling a gun is two-handed.	Half of all firearms recovered were from single-handed use.	1
Handling a gun is two-handed.	The best way to improve gun control is to use both wheels.	2
Handling a gun is two-handed.	You need to use both hands if you want to be good with a gun.	0
And uh but all of a sudden there's hair on the outside I don't know where it came from but.	I don't know where it came from but it was fast.	0
And uh but all of a sudden there's hair on the outside I don't know where it came from but.	He came quickly but seemed to know where he was coming from.	1
And uh but all of a sudden there's hair on the outside I don't know where it came from but.	It came slowly, and I knew exactly when it would come.	2
No, and to tell you the truth, I didn't even know him.	I don't really know.	0
No, and to tell you the truth, I didn't even know him.	I don't know anything about love.	1
No, and to tell you the truth, I didn't even know him.	I've been reading to her for years.	2
Well, she's nice, you know.	I think she knows she's lost.	1
Well, she's nice, you know.	No, it is not.	2
Well, she's nice, you know.	Yes, she was very kind.	0
Yeah, he recommended getting a uh um a uh um bucket like the one you can use.	He suggested buying a vacuum cleaner.	2
Yeah, he recommended getting a uh um a uh um bucket like the one you can use.	He suggested finding a floor scrubber.	0
Yeah, he recommended getting a uh um a uh um bucket like the one you can use.	He wanted to wipe the blood off the ground with a cloth.	1
There was a lot of trouble here, with three shots fired in front of our house.	At least 100 kilometers from Harbe-Harbe to my house.	2
There was a lot of trouble here, with three shots fired in front of our house.	I was afraid to go out because the gunfire was still raging near my house.	1
There was a lot of trouble here, with three shots fired in front of our house.	There were gunshots all around my house, and to be honest, it was very uncomfortable to live there.	0
Uh-huh, Seriously, I'm not getting very consistent.	I don't agree, consistency is very well known.	2
Uh-huh, Seriously, I'm not getting very consistent.	I think you're right about his consistency.	1
Uh-huh, Seriously, I'm not getting very consistent.	You're right about his inconsistency.	0
I try to be patient for a while.	I try to cope.	0
I try to be patient for a while.	I try my best.	1
I try to be patient for a while.	I will leave you and never look back.	2
We have secured our information for future technology.	We build what the technician needs to finish.	0
We have secured our information for future technology.	We built transistors, a little AI technology that controls our future.	1
We have secured our information for future technology.	We want to stop the advancement of technology.	2
