premise	hypothesis	label
Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	i never spoke to him again.	2
Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	i was so upset that i started talking to him again.	0
Well, I wasn't thinking about him, but I was very disappointed, and, well, I started talking to him again.	we had a good talk.	1
They told me that I had finally found a man, as I called him.	I have not been told anything about contacting anyone.	2
They told me that I had finally found a man, as I called him.	i was told that someone would be summoned to meet me.	0
They told me that I had finally found a man, as I called him.	The man came a little late.	1
you have much to say about him.	i want to tell you everything i know about it!	2
you have much to say about him.	I didn't talk about it, although there was a lot to cover.	0
you have much to say about him.	I won't talk about the history of the city because there is so much to tell.	1
so i'm not sure why.	I'm sure why.	2
so i'm not sure why.	I don't know why he skipped school.	1
so i'm not sure why.	i don't know why this happened.	0
I was the only one who ran the controls for the experiment at low altitude.	I didn't like the fact that I was the only one running the controls for the challenges.	1
I was the only one who ran the controls for the experiment at low altitude.	Experiments were conducted in rooms at low altitudes	0
I was the only one who ran the controls for the experiment at low altitude.	There were a few of us doing controls for the experiment.	2
"Rick says, ""I'm, uh, a retired army officer""."	i am still working to this day.	2
"Rick says, ""I'm, uh, a retired army officer""."	I retired in 2002.	1
"Rick says, ""I'm, uh, a retired army officer""."	Rick told you I'm retired.	0
There are some cash flow forecasts on my desk and, um, ah, it's for that and that February, that's the name of the client.	A client named katie earns $10,000 a month.	1
There are some cash flow forecasts on my desk and, um, ah, it's for that and that February, that's the name of the client.	I have a client named katie.	0
There are some cash flow forecasts on my desk and, um, ah, it's for that and that February, that's the name of the client.	we do not have a customer named kathy.	2
The girl who can help me is across town.	the girl you need help for lives far away.	0
The girl who can help me is across town.	The girl who helped me is 5 miles away.	1
The girl who can help me is across town.	no one can help me.	2
But they were divided as to who were field workers and who were house children, and he was like this:	all agreed to work in the field.	2
But they were divided as to who were field workers and who were house children, and he was like this:	they could not agree on who should be in the field and who should be in the house.	0
But they were divided as to who were field workers and who were house children, and he was like this:	they could not agree on who should work in the cotton fields and who should sweep the floors.	1
I mean, like, they only had five kids, one died.	all their children survived.	2
I mean, like, they only had five kids, one died.	one of the five children died.	0
I mean, like, they only had five kids, one died.	the dead baby had been born sick.	1
she said tears were running down her eyes, and then joe came on the porch.	tears welled up in her eyes as she told him to go out on the porch.	0
she said tears were running down her eyes, and then joe came on the porch.	She quickly wiped away her tears after Joe threw her over the counter.	2
