premise	hypothesis	label
Well, I hadn't thought about it, but I was very confused, and, finally, I got to talking to him again.	I never spoke to him again.	2
Well, I hadn't thought about it, but I was very confused, and, finally, I got to talking to him again.	I was so upset that I started talking to him again.	0
Well, I hadn't thought about it, but I was very confused, and, finally, I got to talking to him again.	We had a good conversation.	1
They explained that I would eventually be invited by a relative with whom we would get along.	I wasn't told anything about meeting anyone.	2
They explained that I would eventually be invited by a relative with whom we would get along.	I was told that someone would be summoned to meet me.	0
They explained that I would eventually be invited by a relative with whom we would get along.	He arrived late.	1
There's a lot you could talk about, but I'll leave it at that.	I want to tell you everything I know about these things.	2
There's a lot you could talk about, but I'll leave it at that.	I will not go into these matters, although there is much to be concealed.	0
There's a lot you could talk about, but I'll leave it at that.	I can't talk about the history of the city because there's so much to talk about.	1
So, I don't really know why.	I'm sure of why.	2
So, I don't really know why.	I don't know why he switched schools.	1
So, I don't really know why.	I don't know why that happened.	0
I'm the only one who grew up with, uh, never running a test rig in a 'miniature altitude' room.	I didn't want to be unique by driving the measurement supervisors.	1
I'm the only one who grew up with, uh, never running a test rig in a 'miniature altitude' room.	Experiments were conducted with miniature altitude chambers.	0
I'm the only one who grew up with, uh, never running a test rig in a 'miniature altitude' room.	There were a few of us who ran away from the supervisors for the exam.	2
Retired master sergeant, as Rick called it.	I still work to this day.	2
Retired master sergeant, as Rick called it.	I retired in 2002.	1
Retired master sergeant, as Rick called it.	Rick told you I was retired.	0
There's a cash flow estimate on my desk and, um, uh, it's by and as Cutty, that's the client's name.	A client named Cutty makes $10,000 a month.	1
There's a cash flow estimate on my desk and, um, uh, it's by and as Cutty, that's the client's name.	There's a client named Cutty.	0
There's a cash flow estimate on my desk and, um, uh, it's by and as Cutty, that's the client's name.	We don't have any customers named Cutty.	2
This girl can help you get anywhere in the city.	The girl from whom I need help lives far away.	0
This girl can help you get anywhere in the city.	The girl who will help me is 5 miles away.	1
This girl can help you get anywhere in the city.	No one can help me.	2
They were fighting over who was the youngest player and who was the youngest player to win at home.	They all agreed to work in the fields.	2
They were fighting over who was the youngest player and who was the youngest player to win at home.	They didn't accept who was in the hall and who wasn't.	0
They were fighting over who was the youngest player and who was the youngest player to win at home.	They could not agree on who was to work in the cotton field and who was to do the decking.	1
I mean, they had five sons, one of whom died.	All their children survived.	2
I mean, they had five sons, one of whom died.	One of the five children died.	0
I mean, they had five sons, one of whom died.	The dead child was born sickly.	1
She said that tears were streaming down her face. Then she said that Joe also came down from the auditorium.	She was crying as she told him to come to the hall.	0
She said that tears were streaming down her face. Then she said that Joe also came down from the auditorium.	She quickly wiped away tears after throwing Joe out of the hall.	2
She said that tears were streaming down her face. Then she said that Joe also came down from the auditorium.	She was so happy to see Joe that she burst into tears.	1
Even if that plane was on fire, why, it would be uh, on fire and it would melt some of the lead so that the radiation would leak out.	Radiation can be treated in the event of fire as well.	1
Even if that plane was on fire, why, it would be uh, on fire and it would melt some of the lead so that the radiation would leak out.	Radiation could leak from the controls after the plane caught fire.	0
Even if that plane was on fire, why, it would be uh, on fire and it would melt some of the lead so that the radiation would leak out.	Radiation cannot leak during a fire.	2
General Clem Francis is retiring from the U.S. Air Force.	The chief is retired from the U.S. Air Force.	0
General Clem Francis is retiring from the U.S. Air Force.	The chief recently retired a few weeks ago	1
General Clem Francis is retiring from the U.S. Air Force.	The Chief of Staff of the U.S. Army has resigned this week.	2
The bus came to a place where there were two or three flights a week and I didn't know where they were going.	More than one plane arrives each week.	0
