premise	hypothesis	label
To be honest, I hadn't even thought of that, but I had a hard time until I finally spoke to her.	I haven't spoken to him	2
To be honest, I hadn't even thought of that, but I had a hard time until I finally spoke to her.	I was so nervous when I finally met him	0
To be honest, I hadn't even thought of that, but I had a hard time until I finally spoke to her.	we talked a lot	1
They said I was a virgin and they were going to bring a man to meet me.	no one can tell me to meet anyone	2
They said I was a virgin and they were going to bring a man to meet me.	He told me he called me once to meet him	0
They said I was a virgin and they were going to bring a man to meet me.	the man hadn't come at the time	1
I have much more to say to you, but you do not need to write it down now.	I wanted to tell you everything I know about the case	2
I have much more to say to you, but you do not need to write it down now.	I will not say this on my own, because there are many who are trying to persuade me.	0
I have much more to say to you, but you do not need to write it down now.	I won't talk about the city council because there's too much to say about it	1
so I don't really know why	I know the reason	2
so I don't really know why	I don't know why he changed schools	1
so I don't really know why	I don't know why	0
I alone could have been responsible for maintaining the balance of power in the lower chambers	I didn't want to be the only one who used the measuring device for the figures	1
I alone could have been responsible for maintaining the balance of power in the lower chambers	the arts in the lower rooms were his main occupation	0
I alone could have been responsible for maintaining the balance of power in the lower chambers	some of them were running in our race with the measuring device for the figures	2
as rick said, i was a senior defense attorney	I'll work until the next day	2
as rick said, i was a senior defense attorney	I graduated in 2002	1
as rick said, i was a senior defense attorney	Did Rick tell you how I felt?	0
there's a computer in my office, yes, it's owned by this client Cutty	client Cutty earns $10,000 a month	1
there's a computer in my office, yes, it's owned by this client Cutty	there is a client named Cutty	0
there's a computer in my office, yes, it's owned by this client Cutty	we don't have a client named Cutty	2
the girl who can help me is on the beach	the girl whose help I need is far away from here	0
the girl who can help me is on the beach	the girl I'm helping lives a thousand kilometers away	1
the girl who can help me is on the beach	there is no one who can help me	2
but there was a dispute between the lawyers and the family members	they all agreed to work together in the fields	2
but there was a dispute between the lawyers and the family members	they couldn't agree on who was the manager and who was the landlord	0
but there was a dispute between the lawyers and the family members	they could not agree on who should work on the altar and who should take care of the crosses	1
We had five brothers, one of whom is now dead, and the other one is living.	all the children are alive	2
We had five brothers, one of whom is now dead, and the other one is living.	one in five of the children she raised would die	0
We had five brothers, one of whom is now dead, and the other one is living.	the dead child was born with a fever	1
she said her tears were flowing as soon as she said that joe had arrived at the port	as he was talking he went up to the post office, his eyes were bright	0
she said her tears were flowing as soon as she said that joe had arrived at the port	he quickly wiped away his tears as he pulled Joe out of the porch	2
she said her tears were flowing as soon as she said that joe had arrived at the port	She was so happy to see Joe that she started crying.	1
if the oil tank was still burning, why did it explode or burst into flames to save itself	the tool survived the fire	1
if the oil tank was still burning, why did it explode or burst into flames to save itself	the explosion device escaped the explosion pole due to the oil leak	0
if the oil tank was still burning, why did it explode or burst into flames to save itself	the lighting device cannot be rescued if a language is started	2
This is Clem Francis, a U.S. Air Force intelligence officer.	U.S. Air Force officer	0
This is Clem Francis, a U.S. Air Force intelligence officer.	the president was elected only a few weeks ago	1
This is Clem Francis, a U.S. Air Force intelligence officer.	the current U.S. Secretary of Defense has just started his new job	2
Yes, the time has come when we arrive two or three times a week, I don't know how long we'll be staying	more than one plane will arrive next week	0
Yes, the time has come when we arrive two or three times a week, I don't know how long we'll be staying	the amount of oil in the plane quickly evaporates	1
Yes, the time has come when we arrive two or three times a week, I don't know how long we'll be staying	there is no oil that can reach	2
we even had some practice to test the device but it took a little longer	it will take three months to complete the training for the operation of the aircraft	1
we even had some practice to test the device but it took a little longer	the amount of time it took to test the use of the space shuttle was too long	0
we even had some practice to test the device but it took a little longer	We can train you so that you can use, here and at night, the wearable to climb into the sky	2
I mean that there is no uncertainty about the density of the atmosphere because it does not depend on the temperature of the earth	the horseman paid for it	1
I mean that there is no uncertainty about the density of the atmosphere because it does not depend on the temperature of the earth	the lamp could not be lit	0
I mean that there is no uncertainty about the density of the atmosphere because it does not depend on the temperature of the earth	the shadow was on the way to the lighthouse	2
in comparison to what I am trying to do	I don't know how to talk to you	2
in comparison to what I am trying to do	that's what I'm trying to do	0
in comparison to what I am trying to do	i'll try to finish my course next week	1
but by instinct the animals themselves escape especially the cattle	the bees have disappeared from the nest	1
but by instinct the animals themselves escape especially the cattle	the lucky ones were determined to be saved	0
