premise	hypothesis	label
Well, I didn't think about that either, but I didn't like it, so I went back and talked to him.	I did not say another word.	2
Well, I didn't think about that either, but I didn't like it, so I went back and talked to him.	I was so nervous that I just started talking to her again.	0
Well, I didn't think about that either, but I didn't like it, so I went back and talked to him.	We had a heated argument.	1
I was told that when they finished, they would bring me the one whom I would meet.	I wasn't told that I'd ever meet anyone.	2
I was told that when they finished, they would bring me the one whom I would meet.	I was told that a young man was called to meet me.	0
I was told that when they finished, they would bring me the one whom I would meet.	It took him a while to get here.	1
We have much to say about this, but I am unable to venture to speak in detail.	I would like to tell you everything I know about him.	2
We have much to say about this, but I am unable to venture to speak in detail.	With regard to these matters, I fear that you will be greatly distressed at what I am about to write to you.	0
We have much to say about this, but I am unable to venture to speak in detail.	I won't go into the history of that city because there's too much to say about it.	1
So I don't really know why.	That's not why it happened.	2
So I don't really know why.	I don't know why he left school.	1
So I don't really know why.	I don't know why he left school.	0
I'm the only one who can do the uh, the repair work, the cold-room test.	I'm glad I'm the only one who can use the keyboard for the tests.	1
I'm the only one who can do the uh, the repair work, the cold-room test.	The tests were conducted in the cold room.	0
I'm the only one who can do the uh, the repair work, the cold-room test.	Some of us ran off with the corrections for the test.	2
I'm not, uh, a retired police officer, as Rick said.	I'm still working today.	2
I'm not, uh, a retired police officer, as Rick said.	I retired in 2002.	1
I'm not, uh, a retired police officer, as Rick said.	Rick told you I was resting.	0
I have some credit cards on my desk and, yes, they belong to a Cutty machin-chose, as the businessman is called.	Cutty's monthly salary was $10,000	1
I have some credit cards on my desk and, yes, they belong to a Cutty machin-chose, as the businessman is called.	I had a brother named Cutty	0
I have some credit cards on my desk and, yes, they belong to a Cutty machin-chose, as the businessman is called.	We had no customers other than Cutty.	2
The girl who can help me is on the other side of town.	The virgin who needed my help gave birth to a child here.	0
The girl who can help me is on the other side of town.	The girl who will help me is 5 miles from here.	1
The girl who can help me is on the other side of town.	No one could help me.	2
They do not distinguish between those who go out in the field and those who are part of the household, but the difference is...	They urged them to work in the vineyards.	2
They do not distinguish between those who go out in the field and those who are part of the household, but the difference is...	They could not agree among themselves as to which of them would be the gardener and which the householder.	0
They do not distinguish between those who go out in the field and those who are part of the household, but the difference is...	So the disciples began to wonder among themselves which of them would be the one to pick it up.	1
I mean, they had five children, one of whom died.	All their children survived.	2
I mean, they had five children, one of whom died.	One out of every five babies is stillborn.	0
I mean, they had five children, one of whom died.	The child who died was born with a disability.	1
She said she had tears in her eyes, and they said that Joe had come to the rescue.	As he spoke, tears welled up in his eyes.	0
She said she had tears in her eyes, and they said that Joe had come to the rescue.	As she pulled Joe out of the shelter, she burst into tears.	2
She said she had tears in her eyes, and they said that Joe had come to the rescue.	She was so happy to see Joe that she burst into tears	1
If the airplane is still on fire, why, if uh, it's on fire and some of the fuel is burning and the power of the light is going out.	The energy of light can be trapped in flames.	1
If the airplane is still on fire, why, if uh, it's on fire and some of the fuel is burning and the power of the light is going out.	When the plane went down, the electricity was generated by a short circuit.	0
