premise	hypothesis	label
Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	I haven't spoken to him since.	2
Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	He was so angry that I started talking to him again.	0
Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	We had a good conversation.	1
I was told that, uh, a man would be called in later to meet me.	I had not been told that I would meet someone.	2
I was told that, uh, a man would be called in later to meet me.	I was told that a man would be called in to meet me.	0
I was told that, uh, a man would be called in later to meet me.	The man waited a long time.	1
There are so many things you could say about him that I would just ignore that.	I want to tell you everything I know about it!	2
There are so many things you could say about him that I would just ignore that.	I'm not going to talk about that, although there are a lot of things we want to see.	0
There are so many things you could say about him that I would just ignore that.	I won't talk about the history of the city because we have a lot to talk about.	1
So I don't know why.	I am convinced of the reason.	2
So I don't know why.	I don't know why she changed schools.	1
So I don't know why.	I don't know why that happened.	0
I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	I don't want to be the only one using the controller for the test.	1
I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	An inspection was carried out on the flight deck of the small airport.	0
I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	There are a few of us who use the scanner for testing.	2
I'm the, uh, retired Senior Chief of Saints, as Rick said.	I still work to this day.	2
I'm the, uh, retired Senior Chief of Saints, as Rick said.	I retired in 2002.	1
I'm the, uh, retired Senior Chief of Saints, as Rick said.	Rick told you that I had retired.	0
There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.	A customer named Cutty earns $10,000 a month.	1
There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.	There was a customer named Cutty.	0
There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.	We don't have any customers named Cutty.	2
The girl who can help me is on the other side of town.	The girl I need help from lives far away from here.	0
The girl who can help me is on the other side of town.	The girl who will help me is 5 miles away.	1
The girl who can help me is on the other side of town.	No one could help me.	2
But their knowledge differed as to who was the farm worker and who was the householder, it was just like...	They all agreed to work together in the field.	2
But their knowledge differed as to who was the farm worker and who was the householder, it was just like...	They could not agree on who was the farm worker and who had the right to be in the house.	0
But their knowledge differed as to who was the farm worker and who was the householder, it was just like...	They could not agree on who should work in the cotton fields and who should sweep the floor.	1
I said they just had, like, five kids, one of whom died.	All their children survived.	2
I said they just had, like, five kids, one of whom died.	One of the children died.	0
I said they just had, like, five kids, one of whom died.	The dead child was born blind.	1
She said she had tears in her eyes and said that Joe had climbed out the front door.	She had tears in her eyes as she told him to climb up on the front porch.	0
She said she had tears in her eyes and said that Joe had climbed out the front door.	She quickly wiped away her tears after sending Joe away from the front of the house.	2
She said she had tears in her eyes and said that Joe had climbed out the front door.	She was so happy to see Joe that she burst into tears.	1
Even if the plane were to crash, why would it, uh, crash and take out a piece of metal for the waves to collect outside?	The fence prevented it during the same fire incident.	1
Even if the plane were to crash, why would it, uh, crash and take out a piece of metal for the waves to collect outside?	The debris would accumulate on the outside from scrap metal after the plane burns.	0
Even if the plane were to crash, why would it, uh, crash and take out a piece of metal for the waves to collect outside?	The fence will be exposed during a fire.	2
He is the great-great-great-great-great-great-great-great-grandson of Clem Francis, a retired U.S. Air Force officer.	The General is a retired U.S. Air Force officer.	0
He is the great-great-great-great-great-great-great-great-grandson of Clem Francis, a retired U.S. Air Force officer.	The CEO recently retired a few weeks ago.	1
He is the great-great-great-great-great-great-great-great-grandson of Clem Francis, a retired U.S. Air Force officer.	The Chief of Staff of the U.S. Air Force just started his new assignment this week.	2
