premise	hypothesis	label
Well, I didn't wait for that, but I was very upset, but then I spoke to him again.	I never spoke to him again.	2
Well, I didn't wait for that, but I was very upset, but then I spoke to him again.	I was so upset that I started talking to him again.	0
Well, I didn't wait for that, but I was very upset, but then I spoke to him again.	We had a long conversation.	1
They told me that, uh, I was going to be taken to see a cat later.	I hadn't been told anything about meeting anyone.	2
They told me that, uh, I was going to be taken to see a cat later.	I told him that I was going to meet a girl.	0
They told me that, uh, I was going to be taken to see a cat later.	The younger one died shortly before he emerged.	1
There are a lot of things you have to talk about that I'll leave that one alone.	I want to tell you everything I know about it!	2
There are a lot of things you have to talk about that I'll leave that one alone.	I won't go into that, although there are a lot of things that need to be fixed.	0
There are a lot of things you have to talk about that I'll leave that one alone.	I won't go into the history of the city because there is so much more to say.	1
So I couldn't figure out why.	I was clear on why.	2
So I couldn't figure out why.	I don't know how he got through school.	1
So I couldn't figure out why.	I don't know why that happened.	0
I'm the only one that uh, didn't take out the elevators or take down the appliances for, uh, the inspection of the thing in those tiny towers.	I don't like to be the only one who has to cut the lift or lower the ladder for the test.	1
I'm the only one that uh, didn't take out the elevators or take down the appliances for, uh, the inspection of the thing in those tiny towers.	Tests were carried out in the smaller towers.	0
I'm the only one that uh, didn't take out the elevators or take down the appliances for, uh, the inspection of the thing in those tiny towers.	There were a few of us who had to take the climbing device down for the test.	2
I'm uh, Chief Master Sergeant, retired, as Rick said.	I'm still working today.	2
I'm uh, Chief Master Sergeant, retired, as Rick said.	I retired in 2002.	1
I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you that I'm retired.	0
There were some plans for how the money would come in sitting in my chair and, uh, it was for this and this Cutty, that was the name of the client.	A salesman named Cutty earns $10,000 a month.	1
There were some plans for how the money would come in sitting in my chair and, uh, it was for this and this Cutty, that was the name of the client.	There was a salesman named Cutty.	0
There were some plans for how the money would come in sitting in my chair and, uh, it was for this and this Cutty, that was the name of the client.	We don't have a customer named Cutty.	2
The little girl with the mouse you gave me from the road across town	My needy daughter lives far away.	0
The little girl with the mouse you gave me from the road across town	A girl who would help me with my bed was five miles away.	1
The little girl with the mouse you gave me from the road across town	No one could help me.	2
But they're divided about who's a farmhand and who's a child in the house, it's like --	They all agreed to work in the field.	2
But they're divided about who's a farmhand and who's a child in the house, it's like --	There was no consensus as to who owned the farm and who owned the house.	0
But they're divided about who's a farmhand and who's a child in the house, it's like --	They could not agree on who would work in the fields and who would sweep the floor.	1
I'd say they only had, like, five children, one of whom died.	All their offspring survived.	2
I'd say they only had, like, five children, one of whom died.	Of the five children, one died.	0
I'd say they only had, like, five children, one of whom died.	A stillborn child is one who was born with a defect.	1
With tears in her eyes, she said that she had come to tell Joe that he had climbed onto the balcony.	With tears in her eyes, she told him to come to the balcony.	0
With tears in her eyes, she said that she had come to tell Joe that he had climbed onto the balcony.	She quickly wiped away her tears as she threw Joe off the ledge.	2
With tears in her eyes, she said that she had come to tell Joe that he had climbed onto the balcony.	She was so excited to see Joe that she started to cry.	1
Even if an airplane was on fire, why would it, uh, catch fire if it would melt through the metal parts as the flames burst.	It can also be used to cut firewood in the heat of the day.	1
Even if an airplane was on fire, why would it, uh, catch fire if it would melt through the metal parts as the flames burst.	The flame would be blown out of the side of the aircraft after it had ignited.	0
Even if an airplane was on fire, why would it, uh, catch fire if it would melt through the metal parts as the flames burst.	The coal would not ignite in the heat of the fire.	2
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief is retired from the US Air Force.	0
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief had just retired last week.	1
This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The US Air force Chief has just started his duties this weekend.	2
Well, there were two or three flights a week but I didn't know where they were going.	More than one plane arrives every weekend.	0
Well, there were two or three flights a week but I didn't know where they were going.	The increase in the height of aircraft is alarming.	1
Well, there were two or three flights a week but I didn't know where they were going.	There were no planes coming in.	2
They have their level of training in full pressure suits but it took me a little while to get into full pressure suits.	It takes up to three months to complete the training to press a full suit.	1
They have their level of training in full pressure suits but it took me a little while to get into full pressure suits.	Training for a full pressurized suit takes time.	0
They have their level of training in full pressure suits but it took me a little while to get into full pressure suits.	We can give you a full dress rehearsal at the end of the day.	2
I would like to say that there is no point in putting the bomb inside because it will not explode no matter how much the mouse falls to the ground.	The bomb had been detonated by the pilot.	1
I would like to say that there is no point in putting the bomb inside because it will not explode no matter how much the mouse falls to the ground.	The mine had no chance of detonating.	0
I would like to say that there is no point in putting the bomb inside because it will not explode no matter how much the mouse falls to the ground.	There is a high risk of the mine exploding.	2
But what if it's something I'm really trying to do?	I'm not sure what this light looks like to you.	2
But what if it's something I'm really trying to do?	I'm trying really hard to make this stew.	0
But what if it's something I'm really trying to do?	I strive to have my project completed by next week.	1
But either way, the animals will leave anytime, especially the goats.	The goats escape from the barn every day.	1
But either way, the animals will leave anytime, especially the goats.	The goats are more agile.	0
But either way, the animals will leave anytime, especially the goats.	The goats were kept neatly and safely.	2
The doors were locked when we entered.	All the roads are open.	2
The doors were locked when we entered.	The keys are in our hands.	1
The doors were locked when we entered.	We entered despite the fact that the door was blocked.	0
So I decided to take a nail file and cut and fold it like that.	I was convinced that this collection was all that I needed to design this.	1
So I decided to take a nail file and cut and fold it like that.	I don't even know what I'm going to do with all these assemblies. Please let me know what others you know that I can think of that are broken.	2
So I decided to take a nail file and cut and fold it like that.	I will add it up from the collection.	0
but there's a lot of it because the mothers are going to be taking rat pills.	The mothers were drug addicts.	1
but there's a lot of it because the mothers are going to be taking rat pills.	The mothers were not on a pill or a pill.	2
but there's a lot of it because the mothers are going to be taking rat pills.	The mothers were taking rat pills.	0
it's been raining for a long time	I ignored the rain.	1
it's been raining for a long time	It is sunny and rainy.	0
it's been raining for a long time	The constant sunshine was a real menace.	2
oh risking someone's life is worth it or else you'll have a mouse to heal someone.	All life needs a second chance and a second chance.	1
oh risking someone's life is worth it or else you'll have a mouse to heal someone.	No one deserves to be treated twice.	2
oh risking someone's life is worth it or else you'll have a mouse to heal someone.	No matter what solution life is worth.	0
oh my man you have trouble weaving special wire there	I had never seen such a chain attached to a wire.	1
oh my man you have trouble weaving special wire there	Weaving the wire was not a problem.	2
oh my man you have trouble weaving special wire there	This unusual wire had a distinct effect.	0
it sounds like it would be delicious yes i like it one by one many people will be left	Their compassion did not surprise me at all.	2
it sounds like it would be delicious yes i like it one by one many people will be left	To my surprise, you were allowed to take food and wine with you.	1
it sounds like it would be delicious yes i like it one by one many people will be left	I wondered what they could get away with.	0
oh but anyway anyway um my kids are 21 and 24 years old so I don't have a mouse	I was reluctant because my children were in their late teens and early twenties.	0
oh but anyway anyway um my kids are 21 and 24 years old so I don't have a mouse	I have a mouse to do it with, since they are grown in the wild.	1
oh but anyway anyway um my kids are 21 and 24 years old so I don't have a mouse	Since they were 10 and 11 years old, I had to do it.	2
people who have a mouse on a full-time basis or whose decisions need to be covered by a mouse if they need to make decisions	No, humans are incapable of making the best decisions.	0
people who have a mouse on a full-time basis or whose decisions need to be covered by a mouse if they need to make decisions	No, people with mice are not hungry.	1
people who have a mouse on a full-time basis or whose decisions need to be covered by a mouse if they need to make decisions	No, people whose collective decisions cannot be changed.	2
their country is still with them on the journey they started since climbing six mountains at the end	They've been on the road since at least 1970.	0
their country is still with them on the journey they started since climbing six mountains at the end	They enjoyed traveling.	1
their country is still with them on the journey they started since climbing six mountains at the end	For a short time, their journey was halted.	2
how do you take the exercise	Can you explain how difficult it was to make the gesture?	0
how do you take the exercise	I like physical activity because it involves some very emotional activities.	1
how do you take the exercise	Please stop talking about the gesture.	2
well that's good I didn't even think about that	That was a no-nonsense thought that I missed last week.	2
well that's good I didn't even think about that	That's a good point.	0
well that's good I didn't even think about that	The contradiction you mention is a valid one.	1
day care two days a week they call him at the nursing home but he goes to the nursing home	The day care is open daily for children under five years of age only.	2
day care two days a week they call him at the nursing home but he goes to the nursing home	They are allowed to visit twice a week if the elders can afford to do so.	1
day care two days a week they call him at the nursing home but he goes to the nursing home	They call it a day care center but it's actually a construction center.	0
that's their intention oh	That is what they are striving for.	0
that's their intention oh	This was not an arbitrary decision.	2
that's their intention oh	They achieved their goal.	1
gun control means using both hands to fire a gun	Half of all broken guns are single-handed.	1
gun control means using both hands to fire a gun	The best way to handle a rifle is to use both feet.	2
gun control means using both hands to fire a gun	Use both hands if you need a gun handle.	0
and uh but he just came out of nowhere I don't know where he came from but	I don't know where it came from, but it's a weed.	0
and uh but he just came out of nowhere I don't know where he came from but	He came in a hurry but I knew where he was with the mouse you were coming from.	1
and uh but he just came out of nowhere I don't know where he came from but	It comes like molasses but I know exactly when it will come.	2
no really i'm not sure i don't think	I didn't know much about him.	0
no really i'm not sure i don't think	I had no idea what love was.	1
no really i'm not sure i don't think	I've been studying it for years.	2
oh, how much do you know	I know it's weird.	1
oh, how much do you know	It was a corrupt nation.	2
oh, how much do you know	No, it is not.	0
he suggested that you bring uh um one uh um one apple as you would use	He suggested that I buy a vacuum.	2
he suggested that you bring uh um one uh um one apple as you would use	He suggested that we look for an apple tree.	0
he suggested that you bring uh um one uh um one apple as you would use	He wanted to wipe the blood away with a knife.	1
it's very bad here we have no gunman so it's difficult to search about from our house to three houses	The mine was at least 100 miles [100 km] from where I lived.	2
it's very bad here we have no gunman so it's difficult to search about from our house to three houses	The shell landed so close to my house that I was afraid to go outside.	1
it's very bad here we have no gunman so it's difficult to search about from our house to three houses	There was a shooting near my house, and it was really bad in this neighborhood.	0
uh-huh that's right it's not permanent.	I don't believe you, it does.	2
uh-huh that's right it's not permanent.	I'm sure you're right about the rats.	1
uh-huh that's right it's not permanent.	You were right about it being temporary.	0
i want to stay there	I try to be consistent.	0
i want to stay there	I also groom my mice.	1
i want to stay there	I would be left behind, but perhaps behind.	2
We have opened the door to the technology of the future.	We are building what will be an important foundation for the future of technology.	0
We have opened the door to the technology of the future.	We are building transistors, so that our future will be managed by AI.	1
We have opened the door to the technology of the future.	We want to stop the advancement of technology.	2
Plans, and it especially, jinu all turned out to be very good.	At best, only half the jinu will change color.	2
Plans, and it especially, jinu all turned out to be very good.	It is possible for the jinn to change colour.	0
Plans, and it especially, jinu all turned out to be very good.	Occasionally, the ink will change to a bluish-blue hue.	1
Daniel Yamins was a very active young man.	Mr. Yamins is great in the outdoors.	0
Daniel Yamins was a very active young man.	Then he turned his attention to algebraic geometry.	1
Daniel Yamins was a very active young man.	Mr. Yamins is a great artist, but he's wrong in general.	2
And if so, are they always on the side of the rat?	I knew that they did not travel near the border.	2
And if so, are they always on the side of the rat?	I wonder, do they often stay in England?	1
And if so, are they always on the side of the rat?	The speaker wanted to know how often they crossed the border.	0
That there is, I think, a molecular mechanism in the biosphere that is slowly converging in time to allow for the survival of a growing population.	The biosphere undergoes frequent changes.	0
That there is, I think, a molecular mechanism in the biosphere that is slowly converging in time to allow for the survival of a growing population.	The biosphere changes with temperature.	1
That there is, I think, a molecular mechanism in the biosphere that is slowly converging in time to allow for the survival of a growing population.	The biosphere does not change.	2
With the superstructure, the normal crystal does not have a mouse to provide much information.	A simple crystal is a vast array of information storage channels.	2
With the superstructure, the normal crystal does not have a mouse to provide much information.	Ordinary crystals are of little value to convey a message.	0
With the superstructure, the normal crystal does not have a mouse to provide much information.	Other types of crystals are particularly useful for the retrieval of geographic information using laser beams.	1
Therefore, adults should not teach preschoolers to cheat, as they sometimes do when they need help learning to cheat or cheat others like them.	Preschoolers are naturally better at solving puzzles than they are at cheating.	2
Therefore, adults should not teach preschoolers to cheat, as they sometimes do when they need help learning to cheat or cheat others like them.	Those who have not yet started school may not need much help to learn how to cheat.	0
Therefore, adults should not teach preschoolers to cheat, as they sometimes do when they need help learning to cheat or cheat others like them.	Children do not have to go to an astronomy school to learn to fly by themselves.	1
[This was] conceived in the spirit of liberty and devotion to the idea that all men are created equal.	Notes on this plan are still recorded in several appendices.	1
[This was] conceived in the spirit of liberty and devotion to the idea that all men are created equal.	Some people believe that all humans are the same.	0
[This was] conceived in the spirit of liberty and devotion to the idea that all men are created equal.	This nation was founded on the belief that some people are inherently better than others	2
Or do I have a tendency to overcompensate?	I felt very strongly that I should punish him for his failure.	2
Or do I have a tendency to overcompensate?	I wondered if he wanted my greetings again.	0
Or do I have a tendency to overcompensate?	Should I give him more credit for his piano performances?	1
There are mice to construct schemes that spin the network in different directions.	The other components are what can be used to construct the spin network scheme.	0
There are mice to construct schemes that spin the network in different directions.	Spin networks are essential for embedded data technologies.	1
There are mice to construct schemes that spin the network in different directions.	It is impossible to think about Spin Network in different aspects.	2
No, no, I don't want you to die!	I don't want you to die!	0
No, no, I don't want you to die!	It doesn't matter if you're dead!	2
No, no, I don't want you to die!	How I would miss you if you were to die!	1
He was publicly hanged on March 19, 1875, in San Jose, California.	California carried out executions on behalf of the state until the end of the 1875 season.	0
He was publicly hanged on March 19, 1875, in San Jose, California.	He was freed from all sin and sent on his way.	2
He was publicly hanged on March 19, 1875, in San Jose, California.	He was hanged for treason and theft of horses.	1
In the midst of that turmoil, the brilliant river of life flows.	The river is blue and smooth as glass.	2
In the midst of that turmoil, the brilliant river of life flows.	The river was filled with tiny droplets that spread over the hull.	1
In the midst of that turmoil, the brilliant river of life flows.	The river is green, but it also seems to be flowing.	0
The 1860's were a time of unprecedented social order.	By 1870 all law and order had collapsed and the city was in complete chaos.	2
The 1860's were a time of unprecedented social order.	The 1860's were a turbulent time.	0
The 1860's were a time of unprecedented social order.	The policy of modernization demands an increase in labor force.	1
Any kind of sense of superiority, he pointed out, as it emerged in discussions on social media, between the child and the representatives of his culture as they participated in joint activities.	Young children are not capable of such high-minded communication.	2
Any kind of sense of superiority, he pointed out, as it emerged in discussions on social media, between the child and the representatives of his culture as they participated in joint activities.	Weaving is a common occupation among many different cultures.	1
Any kind of sense of superiority, he pointed out, as it emerged in discussions on social media, between the child and the representatives of his culture as they participated in joint activities.	Sharing mundane tasks is sometimes helpful for sharing high-minded thoughts.	0
Some neighborhoods have a prayer man or a prayer woman, and spiritual leaders may lead the community in prayer at church services, on memorial days, and even when the priest is not present.	There are no neighbors who have spiritual fathers who are not priests.	2
Some neighborhoods have a prayer man or a prayer woman, and spiritual leaders may lead the community in prayer at church services, on memorial days, and even when the priest is not present.	Some neighborhoods have nuns who are not priests.	0
Some neighborhoods have a prayer man or a prayer woman, and spiritual leaders may lead the community in prayer at church services, on memorial days, and even when the priest is not present.	Some spiritual blacks have black hair.	1
In a social drama, there is always the opportunity to create and combine other roles with a mouse to help children understand the similarities and differences between people's interests, beliefs, and feelings.	Children can learn to relate to similarities and differences.	0
In a social drama, there is always the opportunity to create and combine other roles with a mouse to help children understand the similarities and differences between people's interests, beliefs, and feelings.	Young children can see the difference between different races.	1
In a social drama, there is always the opportunity to create and combine other roles with a mouse to help children understand the similarities and differences between people's interests, beliefs, and feelings.	Children can't learn anything.	2
The most radical change in postwar German constitutional law, the Janus, was the most radical change that triggered the rise of Nazism.	The Nazis accepted it.	2
The most radical change in postwar German constitutional law, the Janus, was the most radical change that triggered the rise of Nazism.	All were executed by the Nazi regime.	1
The most radical change in postwar German constitutional law, the Janus, was the most radical change that triggered the rise of Nazism.	The Nazis closed it down.	0
Little Sonja began to imitate her daughter's movements.	No one is offended.	2
Little Sonja began to imitate her daughter's movements.	Sonja is a little girl.	0
Little Sonja began to imitate her daughter's movements.	Sonja was furious.	1
6 During the decade leading up to the Civil War, this right was not exercised by the Court.	The Court occasionally exercised this right in the decades leading up to the Civil War.	0
6 During the decade leading up to the Civil War, this right was not exercised by the Court.	The Court exercised this right four times in the decade leading up to the Civil War.	1
6 During the decade leading up to the Civil War, this right was not exercised by the Court.	The Court exercised this right five million times in the 55 years leading up to the Civil War.	2
I assure you, sir, that I have been fully briefed.	I tell you that it gives me knowledge about everything.	0
I assure you, sir, that I have been fully briefed.	I was informed of the death of the researcher.	1
I assure you, sir, that I have been fully briefed.	Many details were concealed from me.	2
