premise	hypothesis	label
Honestly, I never thought about it, but I was so shocked, I ended up talking to him again.	I didn't talk to him anymore	2
Honestly, I never thought about it, but I was so shocked, I ended up talking to him again.	It was heartbreaking to talk to him again	0
Honestly, I never thought about it, but I was so shocked, I ended up talking to him again.	A Successful Conversation	1
They told me, uh, that they're going to call the guy we graduated from to meet me.	They never told me anything about dating.	2
They told me, uh, that they're going to call the guy we graduated from to meet me.	I was told that a young man would be called to meet me	0
They told me, uh, that they're going to call the guy we graduated from to meet me.	A Young Man Who Arrived Late	1
There's a lot you can say about that, but I'll skip it.	I want to tell you everything I've been through.	2
There's a lot you can say about that, but I'll skip it.	I'm not going to talk about it, although there's a lot to talk about.	0
There's a lot you can say about that, but I'll skip it.	I don't talk about the history of the city because there is so much to talk about.	1
So I don't know why	I know exactly why.	2
So I don't know why	I don't know why he changed schools	1
So I don't know why	I don't know why this happened.	0
I'm the only one, uh, who's ever done a home inspection, an exam in a tiny little room	I didn't like being the only one supervising the exams	1
I'm the only one, uh, who's ever done a home inspection, an exam in a tiny little room	Fireworks made in tiny rooms	0
I'm the only one, uh, who's ever done a home inspection, an exam in a tiny little room	A few of us were responsible for overseeing the production of the incense	2
I'm, uh, CEO Serija, he resigned, as Rick said.	Still working to this day	2
I'm, uh, CEO Serija, he resigned, as Rick said.	Retired in 2002	1
I'm, uh, CEO Serija, he resigned, as Rick said.	Rick told you that I quit.	0
There's money waiting on my desk and, um, uh, it's for the Cutty family, that's the name of the client.	A client named Cutty earns $10,000 a month	1
There's money waiting on my desk and, um, uh, it's for the Cutty family, that's the name of the client.	This customer is called Cutty	0
There's money waiting on my desk and, um, uh, it's for the Cutty family, that's the name of the client.	We have a client named Cutty	2
The girl who can help you is on her way to the city	The girl I need help with is far away	0
The girl who can help you is on her way to the city	The girl who is going to help me is 5 km away	1
The girl who can help you is on her way to the city	No one can help me	2
But they were divided up as field helpers and housekeepers, so it was	All those who have made up their minds will work in the field	2
But they were divided up as field helpers and housekeepers, so it was	They could not agree on who would work in the fields and who would work in the home	0
But they were divided up as field helpers and housekeepers, so it was	They could not agree on who should work in the cotton fields and who should plow the ground.	1
I mean, they had, like, five children, one of whom died.	All Their Children Survived	2
I mean, they had, like, five children, one of whom died.	One of the five children died.	0
I mean, they had, like, five children, one of whom died.	A Dead Child is Born Sick	1
He said there were tears coming out of his eyes, and then he told Joe to come up to the stage	She had tears in her eyes when she told him to go up on the stage	0
He said there were tears coming out of his eyes, and then he told Joe to come up to the stage	She quickly wiped away tears after pushing Joe off the stage	2
He said there were tears coming out of his eyes, and then he told Joe to come up to the stage	She was so happy to see Joe that she began to cry	1
Even though the plane was engulfed in flames, why would it burn and melt using a propeller to allow the radiation to escape?	Radiation can be reduced in the event of a fire	1
Even though the plane was engulfed in flames, why would it burn and melt using a propeller to allow the radiation to escape?	Radiation can leak into the flight control system after it has burned	0
Even though the plane was engulfed in flames, why would it burn and melt using a propeller to allow the radiation to escape?	Radiation cannot escape during a fire.	2
This is Senior Chief Sergeant Clem Francis, a retired U.S. Air Force officer.	A retired major in the U.S. Air Force	0
This is Senior Chief Sergeant Clem Francis, a retired U.S. Air Force officer.	The president just resigned a few weeks ago.	1
This is Senior Chief Sergeant Clem Francis, a retired U.S. Air Force officer.	U.S. Air Force Chief of Staff takes office this week	2
Eventually there were two or three flights a week, and I didn't know where they were going.	More than one flight arrives each week	0
Eventually there were two or three flights a week, and I didn't know where they were going.	The growth of air ambulance services is challenging	1
Eventually there were two or three flights a week, and I didn't know where they were going.	There are no flights.	2
They've already trained in full speed suits and it took me a while if you go in full speed suits	It takes about three months to complete training to operate a full-speed suit	1
They've already trained in full speed suits and it took me a while if you go in full speed suits	Training to operate a full-speed suit takes time	0
They've already trained in full speed suits and it took me a while if you go in full speed suits	We can train you to use a full speed suit within one day	2
I meant that it was safe to enter the bomb because it would not explode, no matter how hard it hit the ground.	The bomb that had been detonated flew overhead	1
I meant that it was safe to enter the bomb because it would not explode, no matter how hard it hit the ground.	The bomb didn't have a chance to explode	0
I meant that it was safe to enter the bomb because it would not explode, no matter how hard it hit the ground.	The danger of explosions is immense	2
And that's exactly what I'm trying to do.	I'm not sure how this looks to you.	2
And that's exactly what I'm trying to do.	I'm trying to do this, obviously.	0
And that's exactly what I'm trying to do.	I'm trying to finish my project next week.	1
But in any case, some animals, especially goats, tend to run free all the time	The goats ran away from their nest every day	1
But in any case, some animals, especially goats, tend to run free all the time	Goats were frequent fugitives	0
But in any case, some animals, especially goats, tend to run free all the time	Goats safely and securely stored	2
The doors were closed when we entered.	All the Doors Were Open	2
The doors were closed when we entered.	we also had the keys	1
The doors were closed when we entered.	We Entered Though the Doors Were Locked	0
So I had to take the equations and try to solve them as they are.	I feel confident that the estimates are exactly what I need to solve this	1
So I had to take the equations and try to solve them as they are.	I don't have any proof of using only approximations, please give me the details so I know how to solve this problem	2
So I had to take the equations and try to solve them as they are.	I'm going to count them all together.	0
And that's mostly because his mother was in the hospital.	Parents are drug addicts	1
And that's mostly because his mother was in the hospital.	Parents do not have prescriptions or medications	2
And that's mostly because his mother was in the hospital.	Parents on medication	0
Yes, it's very nice, maybe it rained	I don't hate the rain	1
Yes, it's very nice, maybe it rained	It's nice and raining	0
Yes, it's very nice, maybe it rained	It's so terrifying that the sun never stops	2
How precious human life is, and whether you can correct a person	All lives can be improved and given a second chance	1
How precious human life is, and whether you can correct a person	No One Deserves to Be Corrected	2
How precious human life is, and whether you can correct a person	Without trying to change your life, what's the value?	0
your child has a special use of wires problem	I've never had such a problem with wiring before	1
your child has a special use of wires problem	Using wires is not a problem	2
your child has a special use of wires problem	The problem was caused by the use of special wires	0
Sounds very interesting, yes I'm surprised how much they will agree	It doesn't surprise me at all that they put up with it	2
Sounds very interesting, yes I'm surprised how much they will agree	I was surprised that they let you take food and drinks there	1
Sounds very interesting, yes I'm surprised how much they will agree	I wonder what they can pull out of it	0
yes but anyway um my children are now twenty-one and twenty-nine so I don't feel obliged	I don't need it because my children are in their twenties	0
yes but anyway um my children are now twenty-one and twenty-nine so I don't feel obliged	I've been able to do this since they were about the same age.	1
